STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MARKET_TYPE,Market type,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2010,,502.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,493.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,483.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,494.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,517.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,527.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2016,,545.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,579.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,607.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,645.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,682,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,DNK,Denmark,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,693.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,290.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,308.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,327.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,354.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,392.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2016,,410.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,432.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,448.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,536.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,598.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,648.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2022,,725.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2023,,749,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,GBR,United Kingdom,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2024,,780.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,428.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,423.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,437.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,445.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,508.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2016,,540.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,546.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,545.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,591.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,616,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,644.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2022,,703.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,ITA,Italy,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2023,,711.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2010,,231.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,197.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,176.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,175.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,184.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,201.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2016,,222.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,228.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,241.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,277.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,283.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,279.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,TUR,Türkiye,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2022,,303.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2010,,487.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,506.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,514.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,535,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,562.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,601.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,655.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,707.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,756.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,807.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2022,,908.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,KOR,Korea,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2023,,968.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2010,,139.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,111.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,147.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2013,,171.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2014,,178.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2015,,185.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2016,,205.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2017,,214,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2018,,232.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2019,,248.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2020,,385.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2021,,216.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2022,,314.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,COL,Colombia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2023,,331.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,HRV,Croatia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2010,,290.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,HRV,Croatia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2011,,315.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_PHMC_SALES(1.1),Pharmaceutical sales,I,HRV,Croatia,PH_SALES,Pharmaceutical sales,USD_PPP_PS,"US dollars per person, PPP converted",_Z,Not applicable,_T,Total,2012,,324.4,,,,,,,,0,Units,,
